id,tag,topic
1,room,room
2,room,apartment
3,room,chamber
4,hotel,hotel
5,hotel,property
6,hotel,lodge
7,hotel,resort
8,staff,staff
9,staff,service
10,staff,personnel
11,staff,crew
12,staff,he
13,staff,she
14,location,location
15,location,spot
16,breakfast,breakfast
17,bed,bed
18,bed,sleep quality
19,bed,mattresses
20,bed,linens
21,food,food
22,food,dinner
23,food,lunch
24,bathroom,bathroom
25,bathroom,lavatory
26,bathroom,shower
27,bathroom,toilet
28,bathroom,bath
29,restaurant,restaurant
30,pool,pool
31,pool,spa
32,pool,wellness
33,bar,bar
34,bar,price
35,bar,bill